,0,1,2
mentor,0.0,0.000478,0.0
mesh,0.0,0.000478,0.0
message,0.0,0.000478,0.0
metre,0.0,0.0,0.00095
mette,0.0,0.0,0.000475
microsoft,0.0,0.000478,0.0
midnight,0.0,0.001434,0.0
milestone,0.0,0.000478,0.0
millennials,0.0,0.002868,0.0
million,0.000473,0.0,0.000475
minute,0.0,0.0,0.00095
miracle,0.0,0.0,0.000475
mismatch,0.000473,0.0,0.0
missing,0.000473,0.000478,0.0
mississauga,0.000473,0.0,0.0
model,0.000473,0.0,0.0
modern,0.0,0.0,0.000475
money,0.0,0.000478,0.0
monkey,0.00142,0.0,0.0
morning,0.000947,0.000478,0.0
mother,0.000473,0.0,0.0
motivation,0.0,0.000478,0.0
mount,0.0,0.0,0.000475
mountain,0.0,0.0,0.004751
movement,0.000473,0.0,0.0
moving,0.0,0.000478,0.0
museum,0.0,0.0,0.000475
mystery,0.0,0.0,0.000475
namibia,0.000947,0.0,0.0
nap,0.000947,0.0,0.0
napping,0.000947,0.0,0.0
narrative,0.000473,0.0,0.000475
narrowed,0.0,0.0,0.000475
nation,0.0,0.0,0.001425
national,0.0,0.0,0.001425
natural,0.000947,0.0,0.0
nature,0.000473,0.0,0.0
navigating,0.0,0.000478,0.0
nearest,0.000473,0.0,0.0
nearly,0.000947,0.0,0.00095
necessarily,0.0,0.000478,0.0
need,0.000473,0.0,0.0
needing,0.000473,0.0,0.0
nesna,0.0,0.0,0.000475
netflix,0.000473,0.0,0.0
neuroscientist,0.000473,0.0,0.0
new,0.000473,0.002868,0.00095
niels,0.000473,0.0,0.0
night,0.004261,0.000478,0.0
nocturnal,0.000473,0.0,0.0
noise,0.0,0.0,0.000475
normalisation,0.0,0.000478,0.0
north,0.000947,0.0,0.003325
northern,0.000473,0.0,0.000475
norway,0.0,0.0,0.009501
norwegian,0.0,0.0,0.0019
note,0.000473,0.000956,0.0
notice,0.0,0.000478,0.0
notification,0.0,0.000478,0.0
number,0.000473,0.000478,0.0
obstacle,0.0,0.0,0.001425
occasionally,0.0,0.0,0.000475
ocean,0.0,0.0,0.00095
offering,0.000473,0.0,0.0
office,0.0,0.000956,0.0
offshore,0.0,0.0,0.000475
olav,0.0,0.0,0.0019
older,0.0,0.001434,0.0
onboard,0.0,0.000478,0.0
onward,0.0,0.0,0.000475
open,0.0,0.0,0.000475
opinion,0.000473,0.0,0.0
opportunity,0.000473,0.000478,0.0
optimism,0.0,0.000478,0.0
optimistic,0.0,0.000478,0.0
oracle,0.0,0.000478,0.0
organisation,0.0,0.000956,0.0
ornithology,0.000473,0.0,0.0
ought,0.000473,0.0,0.0
outcrop,0.0,0.0,0.00095
outermost,0.0,0.0,0.000475
outline,0.0,0.0,0.000475
overall,0.0,0.000478,0.0
overcame,0.0,0.0,0.000475
overwhelmed,0.0,0.000478,0.0
overwork,0.0,0.000478,0.0
