,0,1,2
hypervigilance,0.00079,0.0,0.0
hypothesis,0.00079,0.0,0.0
ibsen,0.0,0.0,0.000813
ice,0.0,0.0,0.001626
icecap,0.0,0.0,0.000813
identity,0.0,0.0,0.000813
ignore,0.0,0.000806,0.0
iii,0.0,0.0,0.000813
imagine,0.0,0.0,0.000813
imago,0.00079,0.0,0.0
immune,0.00079,0.0,0.0
impact,0.0,0.000806,0.0
important,0.00158,0.0,0.0
impossible,0.0,0.0,0.003253
improvement,0.0,0.000806,0.0
inability,0.0,0.000806,0.0
including,0.000292,0.000298,0.0
income,0.0,0.001612,0.0
increased,0.0,0.001612,0.0
increasing,0.0,0.001612,0.0
increasingly,0.0,0.000298,0.0006
indeed,0.0,0.000806,0.0
independent,0.0,0.0,0.000813
index,0.0,0.000806,0.0
industry,0.0,0.000806,0.0
inevitable,0.0,0.000806,0.0
inflation,0.0,0.000806,0.0
influencing,0.00079,0.0,0.0
information,0.00158,0.0,0.0
infrequent,0.00079,0.0,0.0
ingenuity,0.0,0.0,0.001626
inhabited,0.0,0.0,0.000813
inhospitable,0.0,0.0,0.000813
inland,0.0,0.0,0.000813
insomnia,0.00079,0.0,0.0
instability,0.0,0.001612,0.0
institute,0.00079,0.0,0.0
integrate,0.0,0.000806,0.0
intended,0.0,0.000806,0.0
intensified,0.0,0.000806,0.0
intensifying,0.0,0.000806,0.0
interesting,0.00079,0.0,0.0
involve,0.0,0.0,0.000813
ireland,0.00079,0.0,0.0
isabella,0.00079,0.0,0.0
island,0.0,0.0,0.00244
isolated,0.00079,0.0,0.0
isolation,0.0,0.000806,0.0
jaded,0.0,0.000806,0.0
jagged,0.0,0.0,0.000813
jektvik,0.0,0.0,0.000813
job,0.0,0.008061,0.0
joined,0.0,0.0,0.000813
joking,0.0,0.0,0.000813
joost,0.0,0.0,0.003253
jotunheimen,0.0,0.0,0.000813
journey,0.000292,0.0,0.001801
juggling,0.0,0.001612,0.0
june,0.0,0.0,0.000813
keep,0.0,0.001612,0.0
keeping,0.000292,0.000298,0.0
kept,0.00158,0.0,0.0
key,0.000583,0.000298,0.0
kid,0.0,0.000806,0.0
kilboghamn,0.0,0.0,0.000813
killed,0.0,0.0,0.000813
kilometre,0.0,0.0,0.000813
kim,0.0,0.000806,0.0
kind,0.000292,0.000892,0.0
king,0.0,0.0,0.000813
knew,0.0,0.000298,0.0006
know,0.000292,0.000595,0.0
knowledge,0.0,0.0,0.000813
known,0.0,0.0,0.0
kystriksveien,0.0,0.0,0.007319
laboratory,0.00158,0.0,0.0
lack,0.0,0.000806,0.0
laid,0.00079,0.0,0.0
lake,0.0,0.0,0.000813
land,0.000292,0.0,0.001201
landscape,0.0,0.0,0.001626
lapped,0.0,0.0,0.000813
larger,0.00079,0.0,0.0
largest,0.0,0.0,0.001626
larsen,0.0,0.0,0.003253
last,0.0,0.0,0.001626
late,0.0,0.00403,0.0
later,0.0,0.000298,0.0006
latest,0.0,0.000806,0.0
lay,0.0,0.0,0.001626
layer,0.00079,0.0,0.0
le,0.00204,0.000595,0.0
lead,0.0,0.000806,0.0
leader,0.0,0.0,0.000813
leafy,0.00079,0.0,0.0
learn,0.00079,0.0,0.0
least,0.000875,0.000595,0.0
leaving,0.0,0.0,0.000813
led,0.000583,0.000298,0.0
left,0.0,0.0,0.000813
legend,0.0,0.0,0.000813
lemur,0.00158,0.0,0.0
licensed,0.0,0.000806,0.0
life,0.0,0.003224,0.0
light,0.00237,0.0,0.0
like,0.0,0.0,0.0
likely,0.000875,0.000298,0.0
line,0.000292,0.0,0.000901
linger,0.00079,0.0,0.0
link,0.0,0.000806,0.0
linked,0.0,0.001612,0.0
lion,0.00079,0.0,0.0
literary,0.0,0.0,0.000813
little,0.0,0.000298,0.0003
live,0.00237,0.0,0.0
lived,0.00079,0.0,0.0
living,0.0,0.000806,0.0
loaded,0.0,0.0,0.000813
local,0.0,0.0,0.000813
log,0.0,0.000806,0.0
long,0.0,0.000595,0.0006
longer,0.0,0.000806,0.0
longest,0.0,0.0,0.000813
look,0.0,0.0,0.000813
looking,0.0,0.0,0.001626
lookout,0.00079,0.0,0.0
loomed,0.0,0.0,0.000813
lopping,0.00079,0.0,0.0
los,0.00079,0.0,0.0
lost,0.000292,0.000298,0.0
lot,0.001166,0.000892,0.0
låvong,0.0,0.0,0.000813
madagascar,0.00158,0.0,0.0
made,0.0,0.0,0.0
maelstrom,0.0,0.0,0.000813
mainland,0.0,0.0,0.001626
maintain,0.0,0.000806,0.0
maintaining,0.00079,0.0,0.0
make,0.0,0.0,0.0
making,0.0,0.000806,0.0
mammal,0.00079,0.0,0.0
manager,0.0,0.000806,0.0
manicured,0.0,0.0,0.000813
mantra,0.0,0.0,0.000813
many,0.0,0.000892,0.0003
map,0.0,0.0,0.000813
march,0.0,0.000806,0.0
marked,0.0,0.0,0.000813
marking,0.0,0.0,0.000813
mass,0.00079,0.0,0.0
match,0.00079,0.0,0.0
matt,0.0,0.005642,0.0
max,0.00079,0.0,0.0
may,0.002915,0.000298,0.0
maybe,0.00158,0.0,0.0
meadow,0.0,0.0,0.000813
meal,0.00079,0.0,0.0
mean,0.000292,0.000595,0.0
meandered,0.0,0.0,0.000813
meaningless,0.0,0.000806,0.0
meant,0.000292,0.0,0.0006
measured,0.00079,0.0,0.0
median,0.0,0.001612,0.0
medieval,0.000292,0.0,0.0003
medium,0.0,0.001612,0.0
member,0.00079,0.0,0.0
memory,0.00079,0.0,0.0
mental,0.0,0.000806,0.0
mentor,0.0,0.000806,0.0
mesh,0.0,0.000806,0.0
message,0.0,0.000806,0.0
metre,0.0,0.0,0.001626
mette,0.0,0.0,0.000813
microsoft,0.0,0.000806,0.0
midnight,0.0,0.002418,0.0
might,0.001749,0.000892,0.0
milestone,0.0,0.000806,0.0
millennials,0.0,0.004836,0.0
million,0.000292,0.0,0.0003
minute,0.0,0.0,0.001626
miracle,0.0,0.0,0.000813
mismatch,0.00079,0.0,0.0
missing,0.000292,0.000298,0.0
mississauga,0.00079,0.0,0.0
model,0.00079,0.0,0.0
modern,0.0,0.0,0.000813
money,0.0,0.000806,0.0
monkey,0.00237,0.0,0.0
morning,0.000583,0.000298,0.0
mother,0.00079,0.0,0.0
motivation,0.0,0.000806,0.0
mount,0.0,0.0,0.000813
mountain,0.0,0.0,0.008132
move,0.00079,0.0,0.0
movement,0.00079,0.0,0.0
moving,0.0,0.000806,0.0
much,0.0,0.0,0.0
museum,0.0,0.0,0.000813
mystery,0.0,0.0,0.000813
namibia,0.00158,0.0,0.0
nap,0.00158,0.0,0.0
napping,0.00158,0.0,0.0
narrative,0.000292,0.0,0.0003
narrowed,0.0,0.0,0.000813
nation,0.0,0.0,0.00244
national,0.0,0.0,0.00244
natural,0.00158,0.0,0.0
nature,0.00079,0.0,0.0
navigating,0.0,0.000806,0.0
nearest,0.00079,0.0,0.0
nearly,0.000583,0.0,0.0006
necessarily,0.0,0.000806,0.0
need,0.00079,0.0,0.0
needing,0.00079,0.0,0.0
nesna,0.0,0.0,0.000813
netflix,0.00079,0.0,0.0
neuroscientist,0.00079,0.0,0.0
never,0.0,0.0,0.0
new,0.0,0.0,0.0
next,0.0,0.000806,0.0
niels,0.00079,0.0,0.0
night,0.002623,0.000298,0.0
nocturnal,0.00079,0.0,0.0
noise,0.0,0.0,0.000813
none,0.0,0.0,0.000813
normalisation,0.0,0.000806,0.0
north,0.000583,0.0,0.002101
northern,0.000292,0.0,0.0003
norway,0.0,0.0,0.016264
norwegian,0.0,0.0,0.003253
note,0.000292,0.000595,0.0
nothing,0.0,0.0,0.000813
notice,0.0,0.000806,0.0
notification,0.0,0.000806,0.0
nowhere,0.0,0.0,0.000813
number,0.000292,0.000298,0.0
obstacle,0.0,0.0,0.00244
occasionally,0.0,0.0,0.000813
ocean,0.0,0.0,0.001626
offering,0.00079,0.0,0.0
office,0.0,0.001612,0.0
offshore,0.0,0.0,0.000813
often,0.000292,0.000298,0.0
olav,0.0,0.0,0.003253
older,0.0,0.002418,0.0
onboard,0.0,0.000806,0.0
one,0.0,0.0,0.0
onward,0.0,0.0,0.000813
open,0.0,0.0,0.000813
opinion,0.00079,0.0,0.0
opportunity,0.000292,0.000298,0.0
optimism,0.0,0.000806,0.0
optimistic,0.0,0.000806,0.0
oracle,0.0,0.000806,0.0
organisation,0.0,0.001612,0.0
ornithology,0.00079,0.0,0.0
others,0.001166,0.0,0.0003
otherwise,0.0,0.0,0.000813
ought,0.00079,0.0,0.0
outcrop,0.0,0.0,0.001626
outermost,0.0,0.0,0.000813
outline,0.0,0.0,0.000813
overall,0.0,0.000806,0.0
overcame,0.0,0.0,0.000813
overwhelmed,0.0,0.000806,0.0
overwork,0.0,0.000806,0.0
ownership,0.0,0.000806,0.0
pace,0.0,0.000806,0.0
painted,0.0,0.0,0.000813
palace,0.0,0.0,0.001626
pandemic,0.0,0.004836,0.0
paper,0.00079,0.0,0.0
paradox,0.00079,0.0,0.0
park,0.0,0.0,0.000813
participant,0.00158,0.0,0.0
passage,0.0,0.0,0.000813
passed,0.0,0.0,0.000813
passing,0.0,0.0,0.001626
passion,0.0,0.0,0.000813
passionate,0.0,0.000806,0.0
past,0.0,0.0,0.001626
path,0.0,0.0,0.00244
pattern,0.00079,0.0,0.0
pay,0.0,0.002418,0.0
peak,0.0,0.0,0.000813
people,0.003206,0.001785,0.0
pepperdine,0.0,0.000806,0.0
per,0.000583,0.000298,0.0
perfect,0.0,0.0,0.000813
perfectly,0.0,0.0,0.000813
perform,0.0,0.000806,0.0
perhaps,0.0,0.000298,0.0003
perimeter,0.0,0.0,0.000813
period,0.000292,0.000298,0.0
perk,0.00079,0.0,0.0
perseverance,0.0,0.0,0.001626
person,0.0,0.001612,0.0
perspective,0.00079,0.0,0.0
peter,0.0,0.000806,0.0
phase,0.00158,0.0,0.0
phone,0.0,0.000806,0.0
phrase,0.0,0.0,0.000813
pick,0.0,0.000806,0.0
picture,0.00079,0.0,0.0
piled,0.0,0.0,0.000813
pilgrimage,0.0,0.0,0.001626
pioneer,0.0,0.0,0.000813
pivoting,0.0,0.000806,0.0
pizza,0.0,0.000806,0.0
place,0.0,0.0,0.004066
plan,0.0,0.002418,0.0
planck,0.00079,0.0,0.0
planet,0.0,0.0,0.001626
planning,0.0,0.000806,0.0
plateau,0.0,0.0,0.000813
platform,0.000292,0.000298,0.0
played,0.00079,0.0,0.0
playing,0.0,0.0,0.000813
point,0.0,0.0,0.0
poor,0.0,0.000806,0.0
pope,0.0,0.0,0.000813
popping,0.0,0.000806,0.0
population,0.00158,0.0,0.0
posed,0.0,0.0,0.000813
position,0.0,0.000806,0.0
positive,0.0,0.000806,0.0
possible,0.000583,0.0,0.0003
potentially,0.0,0.000806,0.0
power,0.0,0.001612,0.0
predation,0.00158,0.0,0.0
predator,0.00316,0.0,0.0
predictive,0.00079,0.0,0.0
presence,0.0,0.0,0.000813
pressure,0.0,0.003224,0.0
pressured,0.0,0.001612,0.0
