,date,content
134,2022-01-01 08:40:00+00:00,"The Stadia Pro Games for January 22 can now be claimed:

- Darksiders III
- Bloodstained: Ritual of the Night 
- Shantae: Risky’s Revenge
- Darkside Detective: A Fumble in the Dark
- DreamWorks Dragons: Dawn of the New Riders

#Stadia #StadiaPro https://t.co/7dLoWyxZYY"
135,2022-01-01 08:30:57+00:00,"@piltovercouncil The thing I dread, is if Dreamworks somehow hands it off to different writers,

I WOULD HATE THAT.

I don’t need another big bad villain, or a grand epic.

Certainly the current team I have faith could make any story work. But they should have the freedom to tell what they want."
136,2022-01-01 08:22:25+00:00,@Dreamworks my DREAM for a #sheramovie isnt WORKING
137,2022-01-01 08:19:31+00:00,"@piltovercouncil My hope for the She-Ra movie (if it actually happens, UGH, PLEASE DREAMWORKS) is not for it to be another high stakes action film or something. I don’t want a repeat of what already happened.

I’d much rather it just be about the aftermath of Horde Prime’s defeat. And Catradora"
138,2022-01-01 08:11:24+00:00,"i'm owed an explanation, dreamworks!!! https://t.co/eqq7KIVIQk"
139,2022-01-01 08:10:49+00:00,@Dreamworks wait what's zodiac
140,2022-01-01 08:07:47+00:00,"👍 on @YouTube: CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") https://t.co/yme9GfRNvp"
141,2022-01-01 08:06:05+00:00,"🚨 Ya disponibles los juegos de #StadiaPro de enero de 2022!

🎮 Darksiders 3
🎮 Bloodstained
🎮 Shantae: Risky's Revenge
🎮 Darkside Detective: A Fumble in the Dark
🎮 DreamWorks Dragons: Dawn of the New Riders

Síguenos en https://t.co/QMJBEM5wqe 😍 https://t.co/wEFcR2cseV"
142,2022-01-01 08:03:10+00:00,"I got a really dope idea for my 32 birthday; if the world hasn't gone to shit lol

I want to do a Disney/Pixar/DreamWorks cosplay party 

Dress up as a character and sing a song from the movie"
143,2022-01-01 07:52:05+00:00,"@cybercatradora (Like, at this point, realistically it feels like, or I tell myself that I just know, that the She-Ra movie becoming a thing is just a lie we all tell ourselves to just make us feel better.

BUT I DON’T WANT TO ACCEPT THAT. I NEED MORE CATRADORA IN MY LIFE DREAMWORKS, PLEASE!)"
144,2022-01-01 07:48:27+00:00,"@cybercatradora This meme is gonna start playing in my head soon

(It already is, but I like not to think about it)

What fans will be like,
when it’s 5 years from now and Dreamworks either has done nothing with SPOP She-Ra, or decides to do something no one wants like reboot the franchise again https://t.co/uwK1Tboprh"
145,2022-01-01 06:53:19+00:00,"New year resolution: take bigger shits, eat a lot more yogurt, finish watching Dreamworks Flushed Away, and bring joy to the world with my famous jigs and jives I've always been known for. https://t.co/iyzbwC8NjL"
146,2022-01-01 06:51:43+00:00,These animations remind me of DreamWorks 😭
147,2022-01-01 06:47:06+00:00,"2021: A Litmus Test in Opportunity Meeting Preparation

Never having professionally written anything prior, in 2021 I wrote:

• 4 Eps for 2 DreamWorks Shows

• 1 Eps for a Mattel Show

• 4 Promo Vids for Netflix

Grateful for it all, but mostly: that my passions were affirmed. https://t.co/TcwqaWdQ1Z"
